date,SO2 mod,SO2 mea,SO4 mod,SO4 meas,PM2.5 mod,PM2.5 mea
1/1/07,0.405,,0.08,0.288,1.51,
1/8/07,1.7,,0.241,,2.416,
1/15/07,0.973,,0.25,0.208,3.583,
1/22/07,0.33,,0.115,0.23,1.545,
1/29/07,0.408,,0.116,0.253,4.677,
2/5/07,2.318,,0.231,0.261,3.034,
2/12/07,0.1,,0.102,,2.171,
2/19/07,0.038,,0.086,0.115,0.909,
2/26/07,0.105,,0.096,,1.185,
3/5/07,1.225,,0.267,0.364,2.874,
3/12/07,0.336,,0.164,0.345,1.919,
3/19/07,0.081,,0.154,0.264,2.3,
3/26/07,0.04,,0.138,0.31,2.128,
4/2/07,0.271,,0.228,0.341,4.305,
4/9/07,0.316,,0.25,0.487,3.23,
4/16/07,0.35,,0.366,0.298,3.711,
4/23/07,0.028,,0.132,0.245,3.929,
4/30/07,0,,0.073,0.156,0.995,
5/7/07,0,,0.058,0.099,0.718,
5/14/07,0,,0.03,0.091,0.418,
5/21/07,0,,0.027,0.099,0.445,
5/28/07,0,,0.082,0.106,0.648,
6/4/07,0,,0.029,0.041,0.489,
6/11/07,0,,0.033,0.021,1.024,
6/18/07,0,,0.021,0.036,0.472,
6/25/07,0,,0.02,0.024,0.696,
7/2/07,0,,0.022,0.033,0.49,
7/9/07,0,,0.054,0.02,0.75,
7/16/07,0,,0.034,0.012,0.743,
7/23/07,0,,0.034,0.023,0.984,
7/30/07,0,,0.031,0.025,0.826,
8/6/07,0,,0.033,0.028,0.716,
8/13/07,0,,0.072,0.029,1.374,
8/20/07,0,,0.059,0.015,0.574,
8/27/07,0.007,,0.092,0.032,0.585,
9/3/07,0,,0.054,0.035,0.282,
9/10/07,0,,0.031,0.024,0.293,
9/17/07,0,,0.026,0.032,0.46,
9/24/07,0,,0.04,0.024,0.772,
10/1/07,0.002,,0.048,0.041,0.647,
10/8/07,0.002,,0.045,0.044,0.655,
10/15/07,0.025,,0.042,0.057,2.371,
10/22/07,0.058,,0.073,0.067,3.244,
10/29/07,0.002,,0.031,0.035,0.668,
11/5/07,0.011,,0.045,0.072,1.056,
11/12/07,0.011,,0.051,0.071,1.403,
11/19/07,1.089,,0.177,0.156,4.066,
11/26/07,0.386,,0.112,0.185,4.697,
12/3/07,0.251,,0.071,0.169,3.969,
12/10/07,1.036,,0.252,0.462,1.725,
12/17/07,0.393,,0.099,0.228,1.605,
12/24/07,1.704,,0.267,0.315,2.859,
12/31/07,0.728,,0.134,0.271,2.105,
1/7/08,0.356,,0.103,0.188,1.23,
1/14/08,0.251,,0.082,,1.103,
1/21/08,1.124,,0.188,0.236,1.981,
1/28/08,0.216,,0.093,0.146,1.555,
2/4/08,0.107,,0.052,0.169,1.465,
2/11/08,0.252,,0.103,0.194,1.646,
2/18/08,0.282,,0.097,0.305,1.581,
2/25/08,1.17,,0.217,0.469,3.236,
3/3/08,0.277,,0.121,0.273,1.461,
3/10/08,0.107,,0.094,0.191,1.054,
3/17/08,0.051,,0.108,,1.281,
3/24/08,0.229,,0.329,0.452,3.814,
3/31/08,0.123,,0.268,0.367,2.076,
4/7/08,0.015,,0.122,0.284,1.587,
4/14/08,0.111,,0.24,0.386,2.417,
4/21/08,0.147,,0.257,0.382,2.654,
4/28/08,0.001,,0.155,0.246,1.797,
5/5/08,0,,0.113,,1.889,
5/12/08,0.001,,0.129,0.305,1.49,
5/19/08,0,,0.12,0.234,1.174,
5/26/08,0,,0.05,0.056,0.673,
6/2/08,0,,0.021,0.054,0.538,
6/9/08,0,,0.037,0.045,0.841,
6/16/08,0,,0.032,0.041,0.756,
6/23/08,0,,0.073,0.056,1.205,
6/30/08,0,,0.035,0.039,0.678,
7/7/08,0,,0.038,0.044,0.72,
7/14/08,0,,0.013,0.021,0.372,
7/21/08,0,,0.009,0.019,0.27,
7/28/08,0,,0.042,0.048,1.979,
8/4/08,0,,0.042,0.034,1.799,
8/11/08,0,,0.012,0.015,0.26,
8/18/08,0,,0.011,0.018,0.159,
8/25/08,0,,0.02,0.027,0.32,
9/1/08,0,,0.035,0.03,1.005,
9/8/08,0,,0.022,,0.34,
9/15/08,0,,0.013,0.009,0.512,
9/22/08,0.001,,0.042,,0.658,
9/29/08,0.014,,0.059,0.068,1.089,
10/6/08,0.026,,0.072,,2.317,
10/13/08,0.011,,0.085,0.073,0.792,
10/20/08,0.008,,0.054,0.081,1.152,
10/27/08,0.118,,0.086,0.199,1.702,
11/3/08,0.403,,0.144,0.208,1.556,
11/10/08,0.524,,0.15,,1.595,
11/17/08,1.199,,0.238,0.299,2.77,
11/24/08,0.349,,0.134,0.247,1.544,
12/1/08,0.187,,0.072,0.189,2.212,
12/8/08,0.779,,0.163,0.206,2.964,
12/15/08,0.203,,0.081,0.145,2.533,
12/22/08,0.14,,0.057,0.189,1.364,
12/29/08,0.26,,0.1,0.383,1.986,
1/5/09,1.209,,0.217,0.36,3.892,
1/12/09,2.048,,0.32,0.389,4.466,
1/19/09,0.804,,0.154,,2.85,
1/26/09,0.152,,0.08,0.158,1.443,
2/2/09,0.64,,0.124,0.33,2.499,
2/9/09,0.406,,0.123,0.328,1.546,
2/16/09,0.113,,0.077,0.265,1.008,
2/23/09,0.38,,0.124,0.28,1.846,
3/2/09,0.289,,0.124,0.259,1.607,
3/9/09,0.581,,0.207,0.284,2.032,
3/16/09,1.254,,0.346,0.304,2.83,
3/23/09,0.335,,0.172,0.352,1.525,
3/30/09,0.162,,0.2,0.397,1.535,
4/6/09,0.031,,0.161,0.431,1.279,
4/13/09,0.013,,0.205,0.498,2.356,
4/20/09,0.076,,0.149,0.627,3.844,
4/27/09,0.053,,0.18,0.504,2.224,
5/4/09,0,,0.045,,0.639,
5/11/09,0,,0.064,0.205,0.687,
5/18/09,0,,0.048,0.19,0.888,
5/25/09,0.11,,0.219,0.181,1.229,
6/1/09,0,,0.063,0.098,0.645,
6/8/09,0,,0.051,0.141,0.668,
6/15/09,0,,0.028,0.041,0.705,
6/22/09,0,,0.035,0.039,0.567,
6/29/09,0,,0.015,0.028,0.27,
7/6/09,0,,0.029,0.057,0.557,
7/13/09,0,,0.04,0.072,0.911,
7/20/09,0,,0.059,0.052,1.344,
7/27/09,0,,0.025,0.038,0.762,
8/3/09,0,,0.051,0.052,0.984,
8/10/09,0,,0.026,0.032,0.566,
8/17/09,0,,0.023,0.034,0.505,
8/24/09,0,,0.066,0.061,0.785,
8/31/09,0,,0.035,0.035,0.593,
9/7/09,0,,0.011,0.042,0.484,
9/14/09,0,,0.025,0.034,0.608,
9/21/09,0.033,,0.077,,1.132,
9/28/09,0.022,,0.122,0.105,0.944,
10/5/09,0.019,,0.085,,1.143,
10/12/09,0.077,,0.114,0.093,0.849,
10/19/09,0.355,,0.108,0.121,0.596,
10/26/09,0.118,,0.089,0.063,1.368,
