date,SO2_mod,SO2_mea,SO4_mod,SO4_mea,NH4_mod,NH4_mea,NO3_mod,NO3_mea,PM2.5_mod
1/1/07,0.957,0.081,0.173,0.124,0.051,0.06,0.047,0.02,1.505
1/8/07,0.441,0.1,0.106,0.066,0.04,0.044,0.061,0.056,1.783
1/15/07,1.272,0.56,0.249,0.215,0.061,0.127,0.081,0.057,2.012
1/22/07,0.269,0.057,0.08,0.043,0.019,0.022,0.025,0.015,2.659
1/29/07,0.678,0.121,0.246,0.148,0.053,0.059,0.099,0.026,2.117
2/5/07,0.868,0.149,0.156,0.115,0.031,0.031,0.022,0.034,2.936
2/12/07,0.272,0.091,0.102,0.127,0.035,0.047,0.042,0.03,1.557
2/19/07,0.592,0.09,0.316,0.107,0.044,0.023,0.036,0.027,1.631
2/26/07,0.246,0.104,0.103,0.07,0.033,0.016,0.026,0.027,2.249
3/5/07,0.072,0.036,0.116,0.084,0.055,0.013,0.07,0.07,1.032
3/12/07,0.697,0.107,0.214,0.081,0.05,0.09,0.057,0.098,1.709
3/19/07,0.48,0.181,0.212,0.207,0.035,0.132,0.024,0.106,2.333
3/26/07,0.028,0.109,0.114,0.243,0.031,0.196,0.031,0.114,1.347
4/2/07,1.259,0.437,0.342,0.249,0.055,0.141,0.029,0.139,3.849
4/9/07,0.181,0.039,0.207,0.17,0.043,0.099,0.038,0.071,2.418
4/16/07,0.136,0.046,0.156,0.229,0.02,0.12,0.019,0.126,3.687
4/23/07,0.028,0.207,0.14,0.201,0.033,0.094,0.025,0.053,3.411
4/30/07,0.007,0.043,0.057,0.078,0.02,0.034,0.024,0.014,0.764
5/7/07,0.006,0.066,0.111,0.08,0.044,0.016,0.034,0.023,1.268
5/14/07,0.005,0.04,0.072,0.104,0.035,0.021,0.042,0.011,0.558
5/21/07,0.002,0.063,0.05,0.054,0.026,0.021,0.033,0.01,0.406
5/28/07,0.005,0.039,0.046,0.058,0.025,0.019,0.025,0.015,0.477
6/4/07,0.006,0.067,0.044,0.081,0.02,0.013,0.041,0.04,0.375
6/11/07,0.008,0.099,0.096,0.241,0.038,0.031,0.026,0.026,0.627
6/18/07,0.004,0.047,0.093,0.089,0.032,0.023,0.051,0.026,0.747
