date,SO2_mod,SO2_mea,SO4_mod,SO4_mea,NH4_mod,NH4_mea,NO3_mod,NO3_mea,PM2.5_mod
1/1/07,0.44,,0.078,,0.024,,0.039,,1.259
1/8/07,1.445,,0.216,,0.032,,0.038,,6.899
1/15/07,0.944,,0.206,,0.037,,0.061,,1.985
1/22/07,0.35,,0.102,,0.03,,0.05,,3.874
1/29/07,0.498,,0.147,,0.041,,0.068,,3.448
2/5/07,1.757,,0.167,,0.037,,0.048,,3.213
2/12/07,0.251,,0.118,,0.043,,0.066,,1.666
2/19/07,0.017,,0.053,,0.022,,0.034,,0.857
2/26/07,0.097,,0.089,,0.038,,0.041,,2.744
3/5/07,0.145,,0.124,,0.039,,0.06,,1.305
3/12/07,0.174,,0.137,,0.041,,0.042,,2.916
3/19/07,0.136,,0.154,,0.029,,0.028,,3.857
3/26/07,0.009,,0.084,,0.027,,0.036,,0.947
4/2/07,0.122,,0.156,,0.027,,0.021,,7.795
4/9/07,0.263,,0.221,,0.031,,0.027,,2.821
4/16/07,0.275,,0.332,,0.044,,0.018,,12.41
4/23/07,0.01,,0.108,,0.032,,0.028,,3.691
4/30/07,0,,0.058,,0.029,,0.03,,0.77
5/7/07,0,,0.061,,0.04,,0.027,,0.707
5/14/07,0,,0.036,,0.03,,0.026,,0.374
5/21/07,0,,0.036,,0.027,,0.026,,0.399
5/28/07,0,,0.045,,0.023,,0.023,,0.542
6/4/07,0,,0.042,,0.033,,0.034,,0.521
6/11/07,0,,0.046,,0.028,,0.031,,0.625
6/18/07,0,,0.029,,0.022,,0.034,,0.524
6/25/07,0,,0.014,,0.011,,0.015,,1.355
7/2/07,0,,0.024,,0.02,,0.027,,0.495
7/9/07,0,,0.021,,0.019,,0.036,,0.575
7/16/07,0,,0.028,,0.019,,0.043,,0.784
7/23/07,0,,0.038,,0.031,,0.053,,1.221
7/30/07,0,,0.039,,0.031,,0.065,,0.915
8/6/07,0,,0.033,,0.026,,0.058,,0.717
8/13/07,0.001,,0.055,,0.02,,0.027,,1.362
8/20/07,0.004,,0.246,,0.023,,0.023,,1.797
8/27/07,0.009,,0.061,,0.011,,0.014,,0.618
9/3/07,0,,0.016,,0.005,,0.008,,0.232
9/10/07,0,,0.02,,0.01,,0.016,,0.977
9/17/07,0.002,,0.03,,0.015,,0.02,,0.833
9/24/07,0,,0.04,,0.031,,0.028,,0.984
10/1/07,0.002,,0.041,,0.02,,0.017,,2.278
10/8/07,0.001,,0.039,,0.021,,0.022,,1.211
10/15/07,0.015,,0.04,,0.014,,0.015,,1.207
10/22/07,0.04,,0.054,,0.018,,0.019,,3.8
10/29/07,0.017,,0.066,,0.047,,0.036,,1.687
11/5/07,0.028,,0.064,,0.041,,0.032,,6.858
11/12/07,0.012,,0.05,,0.028,,0.029,,1.321
11/19/07,0.752,,0.123,,0.066,,0.04,,6.751
11/26/07,0.214,,0.102,,0.063,,0.048,,1.269
12/3/07,0.074,,0.05,,0.026,,0.032,,1.194
12/10/07,0.134,,0.06,,0.02,,0.032,,0.86
12/17/07,0.248,,0.073,,0.02,,0.024,,1.439
12/24/07,1.072,,0.2,,0.064,,0.086,,4.1
12/31/07,0.318,,0.078,,0.021,,0.039,,2.247
1/7/08,0.346,0.158,0.1,0.196,0.037,0.046,0.079,0.024,1.154
1/14/08,0.323,0.086,0.101,0.146,0.045,0.038,0.074,0.023,1.621
1/21/08,0.865,0.842,0.161,0.227,0.039,0.056,0.073,0.037,1.543
